"id_dim_dechet","GROUPE DE DECHETS","SOUS-GROUPE DE DECHETS","DESCRIPTION PHYSIQUE","CATEGORIE","FAMILLE IN"
1,"Cadrans, indicateurs",NA,"Altimètre(0,008 m3 - 1 t - 1 unite)","AUTRES","S02"
2,"Cadrans, indicateurs",NA,"Anémomètre(0,008 m3 - 1 t - 1 unite)","AUTRES","S02"
3,"Tubes électroniques","Tube 6334 Microwave Associates","Tube 6334 Microwave Associates(0,002 m3 - 1 unite)","AUTRES","S01"
4,"Tubes électroniques","Tube 6334 PENTA Laboratories","Tube 6334 PENTA Laboratories(0,024 m3 - 12 unite)","AUTRES","S01"
5,"Tubes électroniques","Tube 6334 THOMSON","Tube 6334 THOMSON(0,018 m3 - 9 unite)","AUTRES","S01"
6,"Tubes électroniques","Tube électronique TH2611","Tube TH2611 THOMSON(0,024 m3 - 1 t - 1 1)","AUTRES","S01"
7,"Tubes électroniques","Tube F 3003","Tube F 3003(0,051 m3 - 0,23529411764706 t - 6 unite)","AUTRES","S01"
8,"Tubes électroniques","Tube F 3004A","Tube F 3004A(0,425 m3 - 0,029411764705882 t - 5 unite)","AUTRES","S01"
9,"Tubes électroniques","Tube F 3027 A THOMSON","Tube F 3027 A THOMSON(0,024 m3 - 1 unite)","AUTRES","S01"
10,"Tubes électroniques","Tube OA2 WA  SYLVANIA","Tube électronique OA2WA SYLVANIA(0,00004 m3 - 1 unite)","AUTRES","S01"
11,"Tubes électroniques","Tube OA2 WA CSF","Tube électronique radar OA2 WA CSF(0,00004 m3 - 1 unite)","AUTRES","S01"
12,"Tubes électroniques","Tube OA2 WA MAZDA","Tube électronique OA2 WA MAZDA(0,00012 m3 - 3 unite)","AUTRES","S01"
13,"Tubes électroniques","Tube OA2 WA RTC","Tube OA2 WA RTC(0,00004 m3 - 1 unite)","AUTRES","S01"
14,"Tubes électroniques","Tube OA2 WA THOMSON","Tube OA2 WA THOMSON(10 unite)","AUTRES","S01"
15,"Tubes électroniques","Tube OA2WA OREGA CIFTE","Tube électronique OA2WA pour radar(0,00004 m3 - 250 t - 1 unite)","AUTRES","S01"
16,"Tubes électroniques","Tube OB2 WA Autres fab.","Tubes OB2 WA(0,00012 m3 - 3 unite)","AUTRES","S01"
17,"Tubes électroniques","Tube OB2 WA CSF","Tube électronique radar OB2 WA CSF(0,00024 m3 - 6 unite)","AUTRES","S01"
18,"Tubes électroniques","Tube OB2 WA MAZDA","Tube OB2 WA MAZDA pour radar(0,00004 m3 - 1 unite)","AUTRES","S01"
19,"Tubes électroniques","Tube OB2 WA RCA","Tube OB2 WA RCA(0,00164 m3 - 41 unite)","AUTRES","S01"
20,"Tubes électroniques","Tube OB2 WA RT","Tube OB2 WA RT pour radar(0,00004 m3 - 1 unite)","AUTRES","S01"
21,"Tubes électroniques","Tube OB2 WA RTC","Tube OB2 WA RTC(0,00024 m3 - 6 unite)","AUTRES","S01"
22,"Tubes électroniques","Tube OB2 WA SYLVANIA","Tube OB2 WA SYLVANIA pour radar(0,00008 m3 - 2 unite)","AUTRES","S01"
23,"Tubes électroniques","Tube OB2 WA THOMSON","Tube OB2 WA THOMSON(0,00384 m3 - 96 unite)","AUTRES","S01"
24,"Tubes électroniques","Tube OB2 WA USN","Tube OB2 WA USN pour radar(0,00004 m3 - 1 unite)","AUTRES","S01"
25,NA,NA,"DGD - Déchets gérés en décroissance","VTC","DGD"
26,"Déchets métalliques",NA,"Solide et stable(0,03 m3 - 1 t )","TFA","TFA"
27,"Déchets technologiques (frottis, gants..)",NA,"Solide et stable ","TFA","TFA"
28,"Résines échangeuses d'ions",NA,"Solide et stable(1,045 m3 - 0,33 t )","TFA","TFA"
29,"Dechets FMA",NA,"cibles ISOLDE(25,3 m3 - 2 t )","FMA-VC","F3-9-01"
30,"Dechets FMA",NA,"cibles nTOF(1,35 m3 - 2 t )","FMA-VC","F3-9-01"
31,"Dechets FMA",NA,"dechets divers(260,68 m3 - 2 t )","FMA-VC","F3-9-01"
32,"Dechets FMA",NA,"sources radioactives(2,28 m3 - 2 t )","AUTRES","S01"
33,"Dechets TFA",NA,"dechets divers(561,61 m3 - 1 t )","TFA","TFA"
34,"Dechets TFA",NA,"dechets inertes(293,79 m3 - 1 t )","TFA","TFA"
35,"Dechets TFA",NA,"dechets liquides(49,64 m3 - 1 t )","TFA","TFA"
36,"Dechets TFA",NA,"dechets metalliques(4317,9 m3 - 1 t )","TFA","TFA"
37,"Dechets TFA",NA,"dechets non metalliques(727,06 m3 - 1 t )","TFA","TFA"
38,NA,NA,"LA: liquides aqueux (0,235m3)","FMA-VC","F3-7-01"
39,NA,NA,"LS-LH : Solvants et Huiles Liquides (0,004m3)","FMA-VC","F3-7-01"
40,NA,NA,"LS-LH : Solvants et Huiles Liquides (0,06m3)","FMA-VC","F3-7-01"
41,NA,NA,"SI: solides incinérables (0,778m3)","FMA-VC","F3-7-01"
42,NA,NA,"SNI: solides non incinérables (0,0003m3)","FMA-VC","F3-01"
43,NA,NA,"SNI: solides non incinérables (0,756m3)","FMA-VC","F3-01"
44,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Crayons absorbants (AIC, Pyrex, Inox)(59 étuis)","MA-VL","F2-2-03"
45,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Doigts de gants RIC(16 étuis)","MA-VL","F2-2-03"
46,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes (autres que sources)(194 unités)","MA-VL","F2-2-03"
47,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes bouchons en étuis(41 étuis)","MA-VL","F2-2-03"
48,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes sources(8 unités)","AUTRES","S01"
49,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Pièces métalliques diverses(12 unités)","MA-VL","F2-2-03"
50,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Squelettes d'assemblage combustible(3 étuis)","MA-VL","F2-2-03"
51,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Têtes de grappes (toutes)(19 étuis)","MA-VL","F2-2-03"
52,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets conditionnés en attente d'expédition","Big-bags (1m3) - Déchets inertes(2 BB1)","TFA","TFA"
53,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets conditionnés en attente d'expédition","Big-bags (1m3) - Déchets métalliques(2 BB1)","TFA","TFA"
54,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets conditionnés en attente d'expédition","Big-bags (1m3) - Déchets non métalliques(6 BB1)","TFA","TFA"
55,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets conditionnés en attente d'expédition","Caissons métalliques (5m3)(26 CM5M3)","FMA-VC","F3-2-15"
56,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets conditionnés en attente d'expédition","Caissons métalliques (8m3)(1 CM8M3)","FMA-VC","F3-7-02"
57,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets conditionnés en attente d'expédition","Casiers (1,33m3) - Déchets métalliques(3 CA1)","TFA","TFA"
58,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets conditionnés en attente d'expédition","Casiers (2,66m3) - Déchets métalliques(1 CA2)","TFA","TFA"
59,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets conditionnés en attente d'expédition","Fûts métalliques (200l) - Déchets métalliques(5 F1)","TFA","TFA"
60,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets conditionnés en attente d'expédition","Fûts métalliques (200l) - Déchets non métalliques(41 F1)","TFA","TFA"
61,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets conditionnés en attente d'expédition","Futs plastiques (200l) - Déchets incinérables(20 F6)","FMA-VC","F3-7-01"
62,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés"," Métaux ferreux ","FMA-VC","F3-2-15"
63,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Amiante ","TFA","TFA"
64,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Bois seul,  flexel ","TFA","TFA"
65,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Bois seul, flexel
 ","FMA-VC","F3-7-01"
66,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Boues séchées ","FMA-VC","F3-7-01"
67,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Déchets électriques et électroniques ","TFA","TFA"
68,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Filtres de ventilation ","FMA-VC","DIV3"
69,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Filtres de ventilation  ","FMA-VC","F3-2-15"
70,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Gravats ","FMA-VC","DIV3"
71,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Gravats  ","TFA","TFA"
72,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Huiles ","FMA-VC","F3-7-01"
73,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Liquides organiques ","FMA-VC","F3-7-01"
74,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Métaux ferreux ","FMA-VC","DIV3"
75,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Métaux ferreux  ","TFA","TFA"
76,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Métaux non ferreux ","TFA","TFA"
77,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Métaux non ferreux  ","FMA-VC","F3-2-15"
78,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Pièges à iode - Charbon actif ","TFA","TFA"
79,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Plastiques, caoutchouc ","FMA-VC","F3-7-01"
80,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Plastiques, caoutchouc  ","FMA-VC","DIV3"
81,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Plastiques, caoutchouc   ","FMA-VC","F3-01"
82,"Déchets de Moyenne Activité ou Faible Activité à Vie Courte (FMA-VC)","Déchets non conditionnés ou préconditionnés","Tubes fluorescents ","TFA","TFA"
83,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1 m3(29 BB1)","TFA","TFA"
84,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1 m3(34 BB1)","TFA","TFA"
85,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 1 m3 CM1M3","FMA-VC","F3-7-02"
86,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 10 m3(1 CM10M3)","FMA-VC","F3-2-15"
87,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 2 m3(1 CM2M3)","FMA-VC","F3-7-02"
88,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 4 m3(2 CM4M3)","FMA-VC","F3-7-02"
89,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 5 m3(9 CM5M3)","FMA-VC","F3-2-15"
90,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Casiers de 2,66 m3(19 CA2)","TFA","TFA"
91,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Casiers de 2,66 m3(3 CA2)","TFA","TFA"
92,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 1,2 m3(4 C4)","FMA-VC","F3-2-05"
93,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(17 C1)","FMA-VC","F3-2-02"
94,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(2 C1)","FMA-VC","F3-2-03"
95,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(23 C1)","FMA-VC","F3-2-05"
96,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres(227 F1)","FMA-VC","F3-01"
97,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres(28 F1)","TFA","TFA"
98,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts plastiques de 200 litres(155 F6)","FMA-VC","F3-7-01"
99,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Amiante ","TFA","TFA"
100,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Amiante (TFA) ","TFA","TFA"
101,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Bois, flexel ","FMA-VC","F3-7-01"
102,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Boues de décantation ","FMA-VC","F3-2-02"
103,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Boues séchées ","TFA","TFA"
104,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Chambre RPN ","FMA-VC","F3-2-05"
105,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Concentrats d'évaporation ","FMA-VC","F3-2-02"
106,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Déchets électriques et électroniques ","TFA","TFA"
107,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Filtres de ventilation ","TFA","TFA"
108,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Filtres d'eau ","FMA-VC","F3-01"
109,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Filtres d'eau ","FMA-VC","F3-2-05"
110,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Gravats ","TFA","TFA"
111,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Huiles ","FMA-VC","F3-7-01"
112,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Liquides organiques ","FMA-VC","F3-7-01"
113,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Métaux ferreux ","FMA-VC","F3-7-02"
114,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Métaux ferreux ","FMA-VC","F3-2-05"
115,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Métaux ferreux ","TFA","TFA"
116,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Métaux non ferreux ","FMA-VC","F3-2-15"
117,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Métaux non ferreux ","TFA","TFA"
118,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Pièges à iode, charbon actif ","TFA","TFA"
119,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Piles, batteries ","TFA","TFA"
120,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Plastiques, caoutchouc ","FMA-VC","F3-2-05"
121,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Plastiques, caoutchouc ","FMA-VC","F3-01"
122,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Plastiques, caoutchouc ","FMA-VC","F3-7-01"
123,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Résines actives ","FMA-VC","F3-2-03"
124,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Résines échangeuses d'ions APG ","FMA-VC","F3-7-01"
125,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Résines échangeuses d'ions APG ","TFA","TFA"
126,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Silice, sable, corindon, grenaille ","TFA","TFA"
127,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Solvants ","FMA-VC","F3-7-01"
128,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Sonde RIC ","FMA-VC","F3-2-05"
129,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Terre ","TFA","TFA"
130,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Tubes fluorescents ","TFA","TFA"
131,"Résines issues des purges du circuit secondaire au niveau des générateurs de vapeur mélangées à des remblais naturels (terre), des gravats et des déchets conventionnels",NA,"Résines échangeuses d'ions de très faible activité massique(130 m3 )","AUTRES","DSH"
132,"Déchets solides",NA,"Résidus de sable et poudre de zircon mélangés à d'autres minéraux ","AUTRES","ISD"
135,NA,NA,"S04 (0,082m3)","AUTRES","S04"
137,NA,NA,"S04 (0,084m3)","AUTRES","S04"
138,NA,NA,"S04 (0,066m3)","AUTRES","S04"
139,"Déchets d'exploitation entreposés sur le site.",NA,"Produits chimiques liquides sans filières(1 m3 - 1 t )","AUTRES","DSF"
140,"Déchets d'exploitation entreposés sur le site.",NA,"Silices ","MA-VL","DIV2"
141,NA,NA,"SI: solides incinérables (0,48m3)","FMA-VC","F3-7-01"
142,NA,NA,"SL: flacons de scintillation en plastique (0,04m3)","FMA-VC","F3-7-01"
143,NA,NA,"SNI: solides non incinérables (0,12m3)","FMA-VC","F3-01"
144,NA,NA,"SO: solides organiques (0,24m3)","FMA-VC","F3-7-01"
145,NA,NA,"SLV: flacons de scintillation en verre (0,025m3)","FMA-VC","F3-7-01"
147,NA,NA,"S04 (0,026621m3)","AUTRES","S04"
156,NA,NA,"DIV9-08 (0,04m3)","FA-VL","DIV9"
157,NA,NA,"LA: liquides aqueux (0,002m3)","FMA-VC","F3-7-01"
158,NA,NA,"LA: liquides aqueux (0,003m3)","FMA-VC","F3-7-01"
159,NA,NA,"LA: liquides aqueux (0,005m3)","FMA-VC","F3-7-01"
161,NA,NA,"LA: liquides aqueux (0,06m3)","FMA-VC","F3-7-01"
162,NA,NA,"LA: liquides aqueux (0,25m3)","FMA-VC","F3-7-01"
163,NA,NA,"SI: solides incinérables (0,02m3)","FMA-VC","F3-7-01"
164,NA,NA,"SI: solides incinérables (0,08m3)","FMA-VC","F3-7-01"
165,NA,NA,"SI: solides incinérables (0,12m3)","FMA-VC","F3-7-01"
166,NA,NA,"SI: solides incinérables (0,1m3)","FMA-VC","F3-7-01"
167,NA,NA,"SI: solides incinérables (0,24m3)","FMA-VC","F3-7-01"
168,NA,NA,"SL: flacons de scintillation en plastique (0,004m3)","FMA-VC","F3-7-01"
169,NA,NA,"SL: flacons de scintillation en plastique (0,12m3)","FMA-VC","F3-7-01"
170,NA,NA,"SL: flacons de scintillation en plastique (0,1m3)","FMA-VC","F3-7-01"
171,NA,NA,"SL: flacons de scintillation en plastique (0,24m3)","FMA-VC","F3-7-01"
172,NA,NA,"SL: flacons de scintillation en plastique (0,5m3)","FMA-VC","F3-7-01"
173,NA,NA,"SLV: flacons de scintillation en verre (0,01m3)","FMA-VC","F3-7-01"
174,NA,NA,"SLV: flacons de scintillation en verre (0,5m3)","FMA-VC","F3-7-01"
175,NA,NA,"SNI: solides non incinérables (0,01m3)","FMA-VC","F3-01"
176,NA,NA,"TFA-07 (0,25m3)","TFA","TFA"
179,NA,NA,"LA: liquides aqueux (0,03m3)","FMA-VC","F3-7-01"
180,NA,NA,"LA: liquides aqueux (0,21m3)","FMA-VC","F3-7-01"
181,NA,NA,"LS-LH : Solvants et Huiles Liquides (0,03m3)","FMA-VC","F3-7-01"
182,NA,NA,"LS-LH : Solvants et Huiles Liquides (0,27m3)","FMA-VC","F3-7-01"
183,NA,NA,"SI: solides incinérables (0,001m3)","FMA-VC","F3-7-01"
186,NA,NA,"SI: solides incinérables (0,2m3)","FMA-VC","F3-7-01"
187,NA,NA,"SI: solides incinérables (0,58m3)","FMA-VC","F3-7-01"
188,NA,NA,"SL: flacons de scintillation en plastique (0,001m3)","FMA-VC","F3-7-01"
190,NA,NA,"SL: flacons de scintillation en plastique (0,2m3)","FMA-VC","F3-7-01"
191,NA,NA,"SLV: flacons de scintillation en verre (1,72m3)","FMA-VC","F3-7-01"
193,NA,NA,"SNI: solides non incinérables (0,48m3)","FMA-VC","F3-01"
194,NA,NA,"SO: solides organiques (0,001m3)","FMA-VC","F3-7-01"
197,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Crayons absorbants (AIC, Pyrex, Inox)(53 étuis)","MA-VL","F2-2-03"
198,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Doigts de gants RIC(21 étuis)","MA-VL","F2-2-03"
199,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes (autres que sources)(674 unités)","MA-VL","F2-2-03"
200,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes bouchons en étuis(36 Etui)","MA-VL","F2-2-03"
201,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes sources(10 unités)","AUTRES","S01"
202,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Pièces métalliques diverses(8 étuis)","MA-VL","F2-2-03"
203,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Squelettes d'assemblage combustible(3 unités)","MA-VL","F2-2-03"
204,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Têtes de grappes (toutes)(28 étuis)","MA-VL","F2-2-03"
205,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1 m3(7 BB1)","TFA","TFA"
206,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1,5 m3(2 BB1.5)","TFA","TFA"
207,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1,5 m3(25 BB1.5)","TFA","TFA"
208,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons lhotelier LHOT","FMA-VC","F3-7-02"
209,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 2 m3(3 CM2M3)","FMA-VC","F3-7-02"
210,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 4 m3(9 CM4M3)","FMA-VC","F3-7-02"
211,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 7,5 m3 CS7.5M3","FMA-VC","F3-7-02"
212,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 8 m3(6 CM8M3)","FMA-VC","F3-7-02"
213,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Casiers de 1,33 m3(1 CA1)","TFA","TFA"
215,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Casiers de 2,66 m3(5 CA2)","TFA","TFA"
216,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 1,2 m3(13 C4)","FMA-VC","F3-2-05"
217,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(10 C1)","FMA-VC","F3-2-03"
218,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(24 C1)","FMA-VC","F3-2-02"
219,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(64 C1)","FMA-VC","F3-2-05"
220,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres(64 F1)","TFA","TFA"
221,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres(85 F1)","FMA-VC","F3-01"
