"id_dim_dechet","GROUPE DE DECHETS","SOUS-GROUPE DE DECHETS","DESCRIPTION PHYSIQUE","CATEGORIE","FAMILLE IN"
3048,"caisse 3:Déchets Electronique",NA,"Tube electronique OB2WA(0,1 m3 - 1 t - 2887 OB2WA)","AUTRES","S01"
3049,"caisse 4:Déchets technologique",NA,"Paratonnerres(0,2 m3 - 1 t - 2 paratonnerres)","FA-VL","F6-9-04"
3050,"caisse 5:Déchets Aéronautique",NA,"Poste de commande(0,1 m3 - 1 t - 1 unite)","AUTRES","S02"
3051,"Déchets de Faible Activité à Vie Longue (FA-VL)","Déchets entreposés dans les silos","Chemises de graphite avec fils d'acier inoxydable  ","FA-VL","F5-2-01"
3052,"Déchets de Moyenne Activité à Vie Longue (MA-VL)","Absorbants","Absorbants(3 conteneurs IU)","MA-VL","DIV2"
3053,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Crayons absorbants (AIC, Pyrex, Inox)(36 étuis)","MA-VL","F2-2-03"
3054,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Crayons sources(3 Etui)","AUTRES","S01"
3055,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Doigts de gants RIC(6 étuis)","MA-VL","F2-2-03"
3056,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes (autres que sources)(90 unités)","MA-VL","F2-2-03"
3057,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes bouchons en étuis(18 étui)","MA-VL","F2-2-03"
3058,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes sources(4 unités)","AUTRES","S01"
3059,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Pièces métalliques diverses(3 unité)","MA-VL","F2-2-03"
3060,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Squelettes d'assemblage combustibles(1 unité)","MA-VL","F2-2-03"
3062,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1 m3(10 BB1)","TFA","TFA"
3063,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1 m3(5 BB1)","TFA","TFA"
3064,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1,5 m3(14 BB1.5)","TFA","TFA"
3065,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons lhotelier(5 LHOT)","FMA-VC","F3-7-02"
3066,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 1 m3 ","FMA-VC","F3-7-02"
3067,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 4 m3 ","FMA-VC","F3-7-02"
3068,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 7,5 m3(1 CS7.5M3)","FMA-VC","F3-7-02"
3069,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 8 m3(9 CM8M3)","FMA-VC","F3-7-02"
3072,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 1,2 m3(16 C4)","FMA-VC","F3-2-05"
3073,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3 ","FMA-VC","F3-2-03"
3074,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(16 C1)","FMA-VC","F3-2-05"
3075,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(25 C1)","FMA-VC","F3-2-02"
3076,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres(101 F1)","FMA-VC","F3-01"
3077,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres(50 F1)","TFA","TFA"
3078,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts plastiques de 200 litres(169 F6)","FMA-VC","F3-7-01"
3088,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Métaux   ferreux ","TFA","TFA"
